Provincias;Periodo;Total
Huelva;2022;13.152,00
Huelva;2021;12.418,00
Huelva;2020;11.767,00
Huelva;2019;11.560,00
Huelva;2018;10.927,00
Huelva;2017;10.357,00
Huelva;2016;9.912,00
Huelva;2015;9.692,00
Huesca;2022;17.312,00
Huesca;2021;16.534,00
Huesca;2020;15.769,00
Huesca;2019;15.469,00
Huesca;2018;14.920,00
Huesca;2017;14.239,00
Huesca;2016;13.580,00
Huesca;2015;13.334,00
Illes Balears;2022;18.524,00
Illes Balears;2021;16.698,00
Illes Balears;2020;15.226,00
Illes Balears;2019;16.492,00
Illes Balears;2018;15.907,00
Illes Balears;2017;15.092,00
Illes Balears;2016;13.965,00
Illes Balears;2015;13.568,00
Jaén;2022;12.870,00
Jaén;2021;12.408,00
Jaén;2020;11.468,00
Jaén;2019;11.280,00
Jaén;2018;10.830,00
Jaén;2017;10.385,00
Jaén;2016;10.020,00
Jaén;2015;9.482,00
La Rioja;2022;16.976,00
La Rioja;2021;16.015,00
La Rioja;2020;15.309,00
La Rioja;2019;15.513,00
La Rioja;2018;14.932,00
La Rioja;2017;14.269,00
La Rioja;2016;13.776,00
La Rioja;2015;13.321,00
Las Palmas;2022;15.200,00
Las Palmas;2021;13.912,00
Las Palmas;2020;13.182,00
Las Palmas;2019;13.428,00
Las Palmas;2018;12.849,00
Las Palmas;2017;12.220,00
Las Palmas;2016;11.551,00
Las Palmas;2015;11.217,00
León;2022;16.864,00
León;2021;15.855,00
León;2020;15.183,00
León;2019;14.956,00
León;2018;14.328,00
León;2017;13.690,00
León;2016;13.272,00
León;2015;13.016,00
Lleida;2022;16.948,00
Lleida;2021;16.326,00
Lleida;2020;15.512,00
Lleida;2019;15.144,00
Lleida;2018;14.548,00
Lleida;2017;13.923,00
Lleida;2016;13.330,00
Lleida;2015;12.950,00
Lugo;2022;15.767,00
Lugo;2021;14.738,00
Lugo;2020;14.028,00
Lugo;2019;13.784,00
Lugo;2018;13.152,00
Lugo;2017;12.601,00
Lugo;2016;12.168,00
Lugo;2015;11.861,00
Madrid;2022;21.775,00
Madrid;2021;20.471,00
Madrid;2020;19.550,00
Madrid;2019;19.481,00
Madrid;2018;19.042,00
Madrid;2017;18.082,00
Madrid;2016;17.552,00
Madrid;2015;17.128,00
Málaga;2022;14.129,00
Málaga;2021;13.053,00
Málaga;2020;12.136,00
Málaga;2019;12.226,00
Málaga;2018;11.591,00
Málaga;2017;10.947,00
Málaga;2016;10.354,00
Málaga;2015;10.133,00
Melilla;2022;14.603,00
Melilla;2021;13.879,00
Melilla;2020;12.912,00
Melilla;2019;12.676,00
Melilla;2018;12.081,00
Melilla;2017;11.541,00
Melilla;2016;11.377,00
Melilla;2015;11.151,00
Murcia;2022;13.832,00
Murcia;2021;13.095,00
Murcia;2020;12.522,00
Murcia;2019;12.300,00
Murcia;2018;11.718,00
Murcia;2017;11.200,00
Murcia;2016;10.681,00
Murcia;2015;10.424,00
Navarra;2022;19.356,00
Navarra;2021;18.245,00
Navarra;2020;
Navarra;2019;
Navarra;2018;
Navarra;2017;
Navarra;2016;
Navarra;2015;
Ourense;2022;15.317,00
Ourense;2021;14.465,00
Ourense;2020;13.851,00
Ourense;2019;13.617,00
Ourense;2018;12.993,00
Ourense;2017;12.407,00
Ourense;2016;12.021,00
Ourense;2015;11.738,00
Palencia;2022;17.013,00
Palencia;2021;16.165,00
Palencia;2020;15.497,00
Palencia;2019;15.316,00
Palencia;2018;14.730,00
Palencia;2017;14.110,00
Palencia;2016;13.760,00
Palencia;2015;13.339,00
Pontevedra;2022;15.731,00
Pontevedra;2021;14.779,00
Pontevedra;2020;14.039,00
Pontevedra;2019;13.891,00
Pontevedra;2018;13.224,00
Pontevedra;2017;12.633,00
Pontevedra;2016;12.146,00
Pontevedra;2015;11.959,00
Salamanca;2022;16.274,00
Salamanca;2021;15.314,00
Salamanca;2020;14.550,00
Salamanca;2019;14.406,00
Salamanca;2018;13.802,00
Salamanca;2017;13.194,00
Salamanca;2016;12.776,00
Salamanca;2015;12.466,00
Santa Cruz de Tenerife;2022;14.471,00
Santa Cruz de Tenerife;2021;13.258,00
Santa Cruz de Tenerife;2020;12.553,00
Santa Cruz de Tenerife;2019;12.693,00
Santa Cruz de Tenerife;2018;12.031,00
Santa Cruz de Tenerife;2017;11.429,00
Santa Cruz de Tenerife;2016;10.834,00
Santa Cruz de Tenerife;2015;10.605,00
Segovia;2022;16.780,00
Segovia;2021;15.907,00
Segovia;2020;15.066,00
Segovia;2019;14.715,00
Segovia;2018;14.028,00
Segovia;2017;13.356,00
Segovia;2016;12.918,00
Segovia;2015;12.542,00
Sevilla;2022;14.387,00
Sevilla;2021;13.478,00
Sevilla;2020;12.707,00
Sevilla;2019;12.550,00
Sevilla;2018;11.941,00
Sevilla;2017;11.308,00
Sevilla;2016;10.898,00
Sevilla;2015;10.624,00
Soria;2022;17.774,00
Soria;2021;17.229,00
Soria;2020;16.517,00
Soria;2019;15.800,00
Soria;2018;15.250,00
Soria;2017;14.575,00
Soria;2016;14.061,00
Soria;2015;13.719,00
Tarragona;2022;16.682,00
Tarragona;2021;15.865,00
Tarragona;2020;15.002,00
Tarragona;2019;14.932,00
Tarragona;2018;14.418,00
Tarragona;2017;13.779,00
