Provincias;Periodo;Total
Jaén;2019;20,61
Jaén;2018;20,1
Jaén;2017;20,36
Jaén;2016;20,2
Jaén;2015;19,88
La Rioja;2022;21,31
La Rioja;2021;21,35
La Rioja;2020;20,56
La Rioja;2019;21,79
La Rioja;2018;21,41
La Rioja;2017;21,76
La Rioja;2016;21,59
La Rioja;2015;21,36
Las Palmas;2022;19,94
Las Palmas;2021;20,37
Las Palmas;2020;20,31
Las Palmas;2019;20,54
Las Palmas;2018;20,2
Las Palmas;2017;20,32
Las Palmas;2016;20,34
Las Palmas;2015;20,1
León;2022;21,36
León;2021;21,66
León;2020;20,5
León;2019;21,85
León;2018;21,68
León;2017;21,83
León;2016;21,85
León;2015;21,45
Lleida;2022;21,11
Lleida;2021;20,88
Lleida;2020;20,59
Lleida;2019;21,63
Lleida;2018;21,19
Lleida;2017;21,2
Lleida;2016;21,52
Lleida;2015;20,89
Lugo;2022;21,22
Lugo;2021;21,68
Lugo;2020;21,42
Lugo;2019;21,8
Lugo;2018;21,38
Lugo;2017;21,27
Lugo;2016;21,24
Lugo;2015;21,12
Madrid;2022;22,38
Madrid;2021;22,18
Madrid;2020;20,02
Madrid;2019;22,48
Madrid;2018;22,39
Madrid;2017;22,13
Madrid;2016;22,19
Madrid;2015;21,77
Málaga;2022;20,27
Málaga;2021;20,09
Málaga;2020;20,12
Málaga;2019;20,69
Málaga;2018;20,11
Málaga;2017;20,36
Málaga;2016;20,3
Málaga;2015;19,84
Melilla;2022;19,76
Melilla;2021;18,46
Melilla;2020;17,74
Melilla;2019;19,71
Melilla;2018;19,16
Melilla;2017;18,76
Melilla;2016;19,09
Melilla;2015;18,97
Murcia;2022;20,19
Murcia;2021;20,32
Murcia;2020;20,36
Murcia;2019;20,77
Murcia;2018;20,66
Murcia;2017;20,43
Murcia;2016;20,66
Murcia;2015;20,15
Navarra;2022;21,65
Navarra;2021;21,96
Navarra;2020;21,03
Navarra;2019;22,16
Navarra;2018;21,82
Navarra;2017;21,44
Navarra;2016;21,58
Navarra;2015;21,49
Ourense;2022;21,75
Ourense;2021;21,99
Ourense;2020;21,39
Ourense;2019;21,82
Ourense;2018;21,68
Ourense;2017;21,74
Ourense;2016;21,87
Ourense;2015;21,69
Palencia;2022;20,79
Palencia;2021;20,68
Palencia;2020;19,71
Palencia;2019;21,47
Palencia;2018;21,18
Palencia;2017;21,24
Palencia;2016;21,03
Palencia;2015;20,93
Pontevedra;2022;21,44
Pontevedra;2021;21,66
Pontevedra;2020;21,71
Pontevedra;2019;21,76
Pontevedra;2018;21,41
Pontevedra;2017;21,35
Pontevedra;2016;21,27
Pontevedra;2015;21,17
Salamanca;2022;22,08
Salamanca;2021;22,43
Salamanca;2020;20,71
Salamanca;2019;22,54
Salamanca;2018;22,65
Salamanca;2017;22,29
Salamanca;2016;22,42
Salamanca;2015;22,19
Santa Cruz de Tenerife;2022;20,23
Santa Cruz de Tenerife;2021;20,73
Santa Cruz de Tenerife;2020;20,8
Santa Cruz de Tenerife;2019;20,87
Santa Cruz de Tenerife;2018;20,29
Santa Cruz de Tenerife;2017;20,63
Santa Cruz de Tenerife;2016;20,49
Santa Cruz de Tenerife;2015;20,19
Segovia;2022;22,08
Segovia;2021;21,89
Segovia;2020;19,69
Segovia;2019;22,22
Segovia;2018;21,73
Segovia;2017;21,89
Segovia;2016;21,87
Segovia;2015;21,22
Sevilla;2022;19,91
Sevilla;2021;19,66
Sevilla;2020;19,67
Sevilla;2019;20,15
Sevilla;2018;20,04
Sevilla;2017;19,71
Sevilla;2016;19,92
Sevilla;2015;19,36
Soria;2022;21,8
Soria;2021;22,1
Soria;2020;20,23
Soria;2019;22,03
Soria;2018;21,73
Soria;2017;22,55
Soria;2016;21,37
Soria;2015;21,8
Tarragona;2022;21,05
Tarragona;2021;20,97
Tarragona;2020;20,44
Tarragona;2019;21,37
Tarragona;2018;21,08
Tarragona;2017;21,16
Tarragona;2016;20,97
Tarragona;2015;20,72
Teruel;2022;21,16
Teruel;2021;21,69
Teruel;2020;20,68
Teruel;2019;21,79
Teruel;2018;21,56
Teruel;2017;21,46
Teruel;2016;21,75
Teruel;2015;21,1
Toledo;2022;21,54
Toledo;2021;20,9
Toledo;2020;19,48
Toledo;2019;21,62
Toledo;2018;21,27
Toledo;2017;20,89
Toledo;2016;21,43
Toledo;2015;21,1
Valencia/València;2022;20,49
Valencia/València;2021;20,36
Valencia/València;2020;20,35
Valencia/València;2019;20,88
Valencia/València;2018;20,59
Valencia/València;2017;20,43
Valencia/València;2016;20,61
Valencia/València;2015;20,23
Valladolid;2022;21,85
Valladolid;2021;21,83
Valladolid;2020;20,72
Valladolid;2019;22,27
Valladolid;2018;21,93
Valladolid;2017;21,76
Valladolid;2016;21,79
Valladolid;2015;21,23
Zamora;2022;21,56
Zamora;2021;22,05
Zamora;2020;20,89
Zamora;2019;21,76
Zamora;2018;21,84
Zamora;2017;22
Zamora;2016;21,4
Zamora;2015;21,81
Zaragoza;2022;21,07
Zaragoza;2021;21,12
Zaragoza;2020;20,15
Zaragoza;2019;21,57
Zaragoza;2018;21,26
Zaragoza;2017;21,16
Zaragoza;2016;21,31
Zaragoza;2015;20,81
